object	timestamp	instances	dimension0	dimension1	dimension2	dimension3	dimension4	pr
Wrt	7	Wrt8	786	4991	1803	1667	6296	0.04
Wrt	7	Wrt9	745	5065	1657	1730	6210	0.12
msd	8	msd0	1266	301	6591	553	5428	0.0540540540540541
msd	8	msd1	1274	173	6735	742	5579	0.0810810810810811
msd	8	msd2	1133	170	6618	550	5416	0.135135135135135
msd	8	msd3	1141	385	6587	844	5473	0.0810810810810811
msd	8	msd4	1154	243	6719	645	5460	0.135135135135135
msd	8	msd5	1111	337	6595	575	5413	0.0810810810810811
msd	8	msd6	1130	212	6676	765	5312	0.027027027027027
msd	8	msd7	1225	216	6666	558	5494	0.189189189189189
msd	8	msd8	1075	251	6710	645	5368	0.027027027027027
msd	8	msd9	1084	303	6629	754	5456	0.189189189189189
Vcz	9	Vcz0	4319	6627	2719	5413	584	0.121951219512195
Vcz	9	Vcz1	4177	6955	2883	5458	512	0.0731707317073171
Vcz	9	Vcz2	4155	6860	2708	5574	703	0.146341463414634
Vcz	9	Vcz3	4348	6862	2793	5371	542	0.024390243902439
Vcz	9	Vcz4	4291	6920	2769	5322	778	0.146341463414634
Vcz	9	Vcz5	4210	6774	2940	5479	732	0.0731707317073171
Vcz	9	Vcz6	4100	6867	2949	5488	750	0.024390243902439
Vcz	9	Vcz7	4183	6752	2790	5518	478	0.146341463414634
Vcz	9	Vcz8	4208	6894	2782	5618	538	0.170731707317073
Vcz	9	Vcz9	4208	6632	3012	5640	582	0.0731707317073171
wmM	10	wmM0	6330	4852	6592	3572	6037	0.0833333333333333
wmM	10	wmM1	6494	4654	6658	3448	6277	0.0277777777777778
wmM	10	wmM2	6380	4834	6633	3596	6041	0.222222222222222
wmM	10	wmM3	6553	4826	6608	3401	6083	0.0277777777777778
wmM	10	wmM4	6537	4881	6567	3652	6270	0.111111111111111
wmM	10	wmM5	6262	4748	6703	3554	6334	0.222222222222222
wmM	10	wmM6	6438	4852	6625	3685	6247	0.0277777777777778
wmM	10	wmM7	6523	4823	6468	3384	6288	0.0833333333333333
wmM	10	wmM8	6338	4791	6621	3419	6342	0.0277777777777778
wmM	10	wmM9	6351	4818	6630	3661	6259	0.166666666666667
WMp	11	WMp0	1647	5528	176	3841	304	0.027027027027027
WMp	11	WMp1	1874	5544	78	3766	502	0.162162162162162
WMp	11	WMp2	1699	5592	287	4010	486	0.0810810810810811
WMp	11	WMp3	1717	5507	299	3808	503	0.135135135135135
WMp	11	WMp4	1578	5594	361	3783	208	0.243243243243243
WMp	11	WMp5	1671	5394	166	3773	528	0.027027027027027
WMp	11	WMp6	1594	5498	349	3897	391	0.108108108108108
WMp	11	WMp7	1660	5394	334	3874	288	0.0810810810810811
WMp	11	WMp8	1758	5545	57	3936	331	0.027027027027027
WMp	11	WMp9	1704	5634	178	3765	476	0.108108108108108
vBn	12	vBn0	5217	1239	4465	1705	1849	0.160714285714286
vBn	12	vBn1	5136	1299	4479	1705	1780	0.125
vBn	12	vBn2	5245	1304	4507	1680	1626	0.0714285714285714
vBn	12	vBn3	5064	1108	4502	1685	1726	0.0535714285714286
vBn	12	vBn4	5336	1384	4573	1800	1682	0.0535714285714286
vBn	12	vBn5	5155	1270	4462	1917	1819	0.160714285714286
vBn	12	vBn6	5128	1351	4466	1658	1730	0.160714285714286
vBn	12	vBn7	5151	1221	4549	1866	1639	0.0178571428571429
vBn	12	vBn8	5115	1149	4339	1759	1750	0.160714285714286
vBn	12	vBn9	5131	1198	4575	1826	1536	0.0357142857142857
gfT	13	gfT0	3536	5386	1762	2650	4742	0.0677966101694915
gfT	13	gfT1	3321	5381	1898	2479	4745	0.101694915254237
gfT	13	gfT2	3262	5501	1898	2651	4726	0.11864406779661
gfT	13	gfT3	3278	5398	1769	2670	4709	0.135593220338983
gfT	13	gfT4	3195	5370	1824	2674	4484	0.135593220338983
gfT	13	gfT5	3423	5514	1855	2600	4419	0.101694915254237
gfT	13	gfT6	3505	5178	1618	2422	4663	0.11864406779661
gfT	13	gfT7	3342	5228	1907	2536	4512	0.0508474576271186
gfT	13	gfT8	3456	5435	1778	2698	4651	0.0847457627118644
gfT	13	gfT9	3419	5467	1777	2614	4498	0.0847457627118644
qQW	14	qQW0	558	1048	6436	4901	445	0.136363636363636
qQW	14	qQW1	428	1109	6187	5144	309	0.0909090909090909
qQW	14	qQW2	590	1304	6332	4909	389	0.0227272727272727
qQW	14	qQW3	463	1229	6366	5069	414	0.136363636363636
qQW	14	qQW4	506	1172	6348	4997	309	0.113636363636364
qQW	14	qQW5	713	1322	6345	4974	551	0.0681818181818182
qQW	14	qQW6	577	1278	6199	5044	322	0.0909090909090909
qQW	14	qQW7	458	1032	6251	5205	406	0.204545454545455
qQW	14	qQW8	544	1132	6251	5058	606	0.0681818181818182
qQW	14	qQW9	567	1329	6450	5188	276	0.0681818181818182
ZcV	15	ZcV0	4161	5674	4529	639	5929	0.116666666666667
ZcV	15	ZcV1	4101	5617	4472	418	6007	0.0166666666666667
ZcV	15	ZcV2	4323	5627	4773	635	5965	0.0833333333333333
ZcV	15	ZcV3	4218	5949	4532	685	6149	0.0833333333333333
ZcV	15	ZcV4	4139	5846	4605	527	5996	0.15
ZcV	15	ZcV5	4154	5868	4582	525	6198	0.1
ZcV	15	ZcV6	4148	5899	4704	731	6131	0.05
ZcV	15	ZcV7	4398	5673	4723	503	5995	0.116666666666667
ZcV	15	ZcV8	4341	5930	4577	454	5983	0.133333333333333
ZcV	15	ZcV9	4294	5699	4425	620	6090	0.15
hbr	16	hbr0	1331	5474	1716	269	228	0.11864406779661
hbr	16	hbr1	1223	5488	1758	391	81	0.0847457627118644
hbr	16	hbr2	1466	5735	1933	553	323	0.11864406779661
hbr	16	hbr3	1290	5631	2022	433	106	0.152542372881356
hbr	16	hbr4	1272	5486	1765	426	168	0.0677966101694915
hbr	16	hbr5	1218	5462	1727	354	385	0.152542372881356
hbr	16	hbr6	1365	5527	1751	617	144	0.0508474576271186
hbr	16	hbr7	1351	5603	1861	373	143	0.101694915254237
hbr	16	hbr8	1409	5510	1785	551	275	0.11864406779661
hbr	16	hbr9	1223	5604	1940	604	378	0.0338983050847458
drp	17	drp0	4652	3044	4585	5170	3482	0.133333333333333
drp	17	drp1	4727	3119	4865	5084	3692	0.0333333333333333
drp	17	drp2	4625	2972	4687	4993	3518	0.15
drp	17	drp3	4654	3016	4743	5055	3479	0.116666666666667
drp	17	drp4	4560	2975	4859	5241	3694	0.1
drp	17	drp5	4645	2981	4653	5259	3466	0.0833333333333333
drp	17	drp6	4598	2922	4834	5012	3614	0.15
drp	17	drp7	4603	2974	4603	5138	3501	0.0166666666666667
drp	17	drp8	4830	2896	4716	5239	3527	0.15
drp	17	drp9	4519	2989	4859	5177	3754	0.0666666666666667
DuQ	18	DuQ0	3484	6832	4849	1147	4296	0.0677966101694915
DuQ	18	DuQ1	3569	6816	4695	1163	4456	0.152542372881356
DuQ	18	DuQ2	3745	6808	4909	1018	4597	0.135593220338983
DuQ	18	DuQ3	3504	6638	4689	900	4553	0.0338983050847458
DuQ	18	DuQ4	3706	6662	4791	899	4533	0.152542372881356
DuQ	18	DuQ5	3525	6607	4801	869	4376	0.135593220338983
DuQ	18	DuQ6	3594	6625	4824	901	4495	0.0169491525423729
DuQ	18	DuQ7	3495	6712	5017	888	4360	0.101694915254237
DuQ	18	DuQ8	3657	6812	4983	1027	4304	0.152542372881356
DuQ	18	DuQ9	3811	6666	4710	1149	4337	0.0508474576271186
JxZ	19	JxZ0	2153	3047	2972	3249	5927	0.163636363636364
JxZ	19	JxZ1	1947	3149	3029	3213	5633	0.109090909090909
JxZ	19	JxZ2	2122	3113	2898	3100	5920	0.109090909090909
JxZ	19	JxZ3	1889	3004	3127	3010	5693	0.0545454545454545
JxZ	19	JxZ4	1861	3031	2939	3254	5675	0.0181818181818182
JxZ	19	JxZ5	1937	3218	3162	3047	5721	0.0181818181818182
JxZ	19	JxZ6	2072	3054	3184	3038	5954	0.163636363636364
JxZ	19	JxZ7	2082	3144	2869	3160	5923	0.0909090909090909
JxZ	19	JxZ8	1889	2883	3129	3029	5697	0.163636363636364
JxZ	19	JxZ9	1930	3154	2867	2969	5753	0.109090909090909
ueN	20	ueN0	2207	2484	4698	6264	3134	0.14
ueN	20	ueN1	2174	2367	4815	6206	3254	0.1
ueN	20	ueN2	2464	2522	4915	6490	3342	0.04
ueN	20	ueN3	2309	2379	4691	6452	3220	0.1
ueN	20	ueN4	2329	2527	4688	6327	3049	0.14
ueN	20	ueN5	2341	2456	4863	6319	3348	0.1
ueN	20	ueN6	2476	2554	4906	6402	3362	0.08
ueN	20	ueN7	2505	2550	4727	6522	3104	0.16
ueN	20	ueN8	2384	2646	4646	6495	3324	0.06
ueN	20	ueN9	2172	2503	4940	6321	3047	0.08
KEv	21	KEv0	5254	1736	4685	1853	6516	0.18
KEv	21	KEv1	5252	1660	4564	1876	6520	0.12
KEv	21	KEv2	4944	1464	4548	1876	6439	0.04
KEv	21	KEv3	5179	1737	4666	1919	6538	0.16
KEv	21	KEv4	5065	1735	4681	1811	6379	0.04
KEv	21	KEv5	5119	1556	4651	2087	6368	0.16
KEv	21	KEv6	5148	1582	4493	1761	6484	0.14
KEv	21	KEv7	5021	1609	4698	1872	6486	0.08
KEv	21	KEv8	5082	1508	4706	1848	6372	0.04
KEv	21	KEv9	5205	1561	4765	2054	6480	0.04
xaK	22	xaK0	6568	4592	5619	2509	6075	0.153846153846154
xaK	22	xaK1	6606	4579	5608	2547	6080	0.0512820512820513
xaK	22	xaK2	6675	4579	5371	2661	5898	0.0256410256410256
xaK	22	xaK3	6602	4533	5330	2586	5887	0.153846153846154
xaK	22	xaK4	6656	4572	5561	2625	5832	0.0256410256410256
xaK	22	xaK5	6831	4680	5507	2598	5832	0.0256410256410256
xaK	22	xaK6	6702	4839	5600	2424	5994	0.153846153846154
xaK	22	xaK7	6601	4833	5318	2450	5873	0.230769230769231
xaK	22	xaK8	6649	4556	5463	2590	5970	0.128205128205128
xaK	22	xaK9	6814	4620	5303	2724	6077	0.0512820512820513
taK	23	taK0	3443	2982	2357	1281	501	0.116279069767442
taK	23	taK1	3383	2963	2252	1023	443	0.209302325581395
taK	23	taK2	3514	3074	2169	1184	659	0.116279069767442
taK	23	taK3	3491	3238	2290	956	655	0.0697674418604651
taK	23	taK4	3647	3161	2255	962	465	0.0232558139534884
taK	23	taK5	3595	3168	2312	1068	471	0.0465116279069767
taK	23	taK6	3434	3075	2089	955	686	0.162790697674419
taK	23	taK7	3608	3212	2213	949	718	0.13953488372093
taK	23	taK8	3456	2973	2099	1035	648	0.0697674418604651
taK	23	taK9	3562	2986	2328	1186	711	0.0465116279069767
bhP	24	bhP0	5515	6609	2112	3073	6397	0.0434782608695652
bhP	24	bhP1	5313	6654	2149	2953	6473	0.108695652173913
bhP	24	bhP2	5367	6590	2278	2858	6516	0.130434782608696
bhP	24	bhP3	5402	6640	2048	3045	6606	0.195652173913043
bhP	24	bhP4	5271	6496	2306	3046	6504	0.173913043478261
bhP	24	bhP5	5370	6770	2279	2845	6487	0.108695652173913
bhP	24	bhP6	5425	6542	2261	3129	6595	0.0652173913043478
bhP	24	bhP7	5299	6472	2273	2825	6389	0.0869565217391304
bhP	24	bhP8	5400	6781	2011	2979	6457	0.0652173913043478
bhP	24	bhP9	5211	6586	2030	3073	6508	0.0217391304347826
Kne	25	Kne0	5285	1234	4356	6311	2789	0.116666666666667
Kne	25	Kne1	5274	1145	4124	6416	2721	0.116666666666667
Kne	25	Kne2	5361	1088	4379	6294	2819	0.0833333333333333
Kne	25	Kne3	5289	1389	4355	6335	2677	0.116666666666667
Kne	25	Kne4	5212	1331	4246	6469	2731	0.05
Kne	25	Kne5	5482	1361	4317	6310	2864	0.116666666666667
Kne	25	Kne6	5269	1218	4278	6532	2789	0.0666666666666667
Kne	25	Kne7	5215	1234	4308	6285	2741	0.116666666666667
Kne	25	Kne8	5380	1302	4135	6392	2882	0.0666666666666667
Kne	25	Kne9	5429	1271	4329	6532	2851	0.15
tWU	26	tWU0	859	731	3724	269	4199	0.0754716981132075
tWU	26	tWU1	902	586	3840	53	4191	0.0943396226415094
tWU	26	tWU2	907	537	3675	334	4064	0.0188679245283019
tWU	26	tWU3	971	719	3621	308	4061	0.0377358490566038
tWU	26	tWU4	1018	450	3733	319	4040	0.150943396226415
tWU	26	tWU5	1010	777	3875	174	4002	0.132075471698113
tWU	26	tWU6	922	493	3809	64	3990	0.0754716981132075
tWU	26	tWU7	978	642	3892	236	3934	0.113207547169811
tWU	26	tWU8	998	754	3622	148	3948	0.169811320754717
tWU	26	tWU9	820	528	3881	201	4207	0.132075471698113
QCp	27	QCp0	916	3687	5017	944	4102	0.109090909090909
QCp	27	QCp1	892	3623	5018	794	4098	0.0909090909090909
QCp	27	QCp2	1049	3840	4736	882	4045	0.0909090909090909
QCp	27	QCp3	1049	3819	4793	779	4029	0.0909090909090909
QCp	27	QCp4	965	3725	4683	968	4102	0.0545454545454545
QCp	27	QCp5	843	3682	4884	877	3934	0.145454545454545
QCp	27	QCp6	918	3837	4713	842	4171	0.127272727272727
QCp	27	QCp7	912	3701	4872	820	3883	0.109090909090909
QCp	27	QCp8	883	3771	4822	1083	3969	0.0545454545454545
QCp	27	QCp9	763	3769	4797	1047	4141	0.127272727272727
WKk	28	WKk0	796	1831	4107	94	3177	0.153846153846154
WKk	28	WKk1	810	1678	4414	70	2929	0.0384615384615385
WKk	28	WKk2	652	1908	4396	307	3016	0.0576923076923077
WKk	28	WKk3	733	1749	4081	175	2955	0.0961538461538462
WKk	28	WKk4	710	1719	4383	284	3130	0.153846153846154
WKk	28	WKk5	752	1956	4362	215	3121	0.0576923076923077
WKk	28	WKk6	486	1798	4257	340	3133	0.0576923076923077
WKk	28	WKk7	522	1730	4410	273	3080	0.0961538461538462
WKk	28	WKk8	702	1683	4108	82	2939	0.134615384615385
WKk	28	WKk9	624	1721	4306	87	2876	0.153846153846154
iMH	29	iMH0	1472	6704	2320	6675	305	0.14
iMH	29	iMH1	1580	6728	2241	6817	204	0.12
iMH	29	iMH2	1483	6733	2280	6792	199	0.14
iMH	29	iMH3	1393	6850	2302	6873	98	0.06
iMH	29	iMH4	1423	6702	2175	6771	238	0.08
iMH	29	iMH5	1593	6665	2452	6834	379	0.04
iMH	29	iMH6	1452	6601	2282	6807	332	0.18
iMH	29	iMH7	1591	6644	2497	6706	38	0.08
iMH	29	iMH8	1441	6705	2188	6866	40	0.08
iMH	29	iMH9	1580	6793	2430	6898	115	0.08
TfY	30	TfY0	1619	2079	1419	4413	5322	0.135593220338983
TfY	30	TfY1	1669	2048	1229	4475	5218	0.152542372881356
TfY	30	TfY2	1670	1779	1300	4721	5205	0.0677966101694915
TfY	30	TfY3	1560	2010	1331	4592	5334	0.135593220338983
TfY	30	TfY4	1663	1873	1234	4495	5131	0.11864406779661
TfY	30	TfY5	1573	1977	1436	4535	5251	0.0169491525423729
TfY	30	TfY6	1609	1941	1109	4755	5077	0.0677966101694915
TfY	30	TfY7	1467	1940	1314	4635	5335	0.101694915254237
TfY	30	TfY8	1692	1979	1177	4529	5297	0.0847457627118644
TfY	30	TfY9	1362	2053	1379	4750	5058	0.11864406779661
agg	31	agg0	5205	2967	232	4034	5316	0.133333333333333
agg	31	agg1	5458	3032	231	3692	5258	0.0833333333333333
agg	31	agg2	5236	3218	484	4023	5186	0.0833333333333333
agg	31	agg3	5194	2967	494	3760	5138	0.1
agg	31	agg4	5379	3211	494	3988	5252	0.116666666666667
agg	31	agg5	5341	2970	413	3909	5286	0.0333333333333333
agg	31	agg6	5266	2931	286	3691	5378	0.0666666666666667
agg	31	agg7	5486	3065	420	4031	5411	0.133333333333333
agg	31	agg8	5340	3058	377	3738	5260	0.15
agg	31	agg9	5270	3102	513	3931	5244	0.1
her	32	her0	1279	1632	4057	5731	898	0.0487804878048781
her	32	her1	1376	1473	3993	5674	928	0.0731707317073171
her	32	her2	1211	1392	3966	5751	865	0.0731707317073171
her	32	her3	1483	1641	3956	5724	1111	0.0731707317073171
her	32	her4	1339	1620	3942	5471	1101	0.121951219512195
her	32	her5	1228	1678	4207	5454	1141	0.0487804878048781
her	32	her6	1261	1646	4130	5700	926	0.170731707317073
her	32	her7	1420	1441	4136	5619	1077	0.170731707317073
her	32	her8	1465	1390	4084	5737	930	0.121951219512195
her	32	her9	1196	1561	4153	5529	982	0.0975609756097561
XAm	33	XAm0	612	2929	2169	3171	3861	0.133333333333333
XAm	33	XAm1	464	2835	2201	3039	4105	0.133333333333333
XAm	33	XAm2	722	2904	2189	3163	4035	0.111111111111111
XAm	33	XAm3	645	2759	2168	3212	3899	0.0888888888888889
XAm	33	XAm4	701	2730	2444	3187	4004	0.0222222222222222
XAm	33	XAm5	462	2848	2440	3233	4124	0.0222222222222222
XAm	33	XAm6	798	2934	2184	3010	4138	0.177777777777778
XAm	33	XAm7	723	2809	2291	3177	4159	0.0888888888888889
XAm	33	XAm8	499	2856	2261	3152	3933	0.0666666666666667
XAm	33	XAm9	595	2908	2414	3176	3912	0.155555555555556
pUd	34	pUd0	5621	6468	4504	6046	5336	0.191489361702128
pUd	34	pUd1	5358	6477	4505	5998	5188	0.0638297872340425
pUd	34	pUd2	5367	6537	4470	5970	5254	0.191489361702128
pUd	34	pUd3	5345	6634	4260	6202	5146	0.0638297872340425
pUd	34	pUd4	5554	6708	4217	5993	5252	0.0425531914893617
pUd	34	pUd5	5490	6574	4277	6214	5318	0.0212765957446809
pUd	34	pUd6	5442	6696	4469	6258	5337	0.106382978723404
pUd	34	pUd7	5374	6739	4196	6176	5111	0.148936170212766
pUd	34	pUd8	5601	6544	4444	6242	5068	0.0638297872340425
pUd	34	pUd9	5602	6663	4384	6163	5189	0.106382978723404
Mnr	35	Mnr0	895	2302	3428	5874	2170	0.0487804878048781
Mnr	35	Mnr1	911	2356	3253	5765	2004	0.024390243902439
Mnr	35	Mnr2	1015	2524	3530	5903	2105	0.024390243902439
Mnr	35	Mnr3	921	2444	3560	5778	2249	0.170731707317073
Mnr	35	Mnr4	1008	2286	3295	5798	2075	0.170731707317073
Mnr	35	Mnr5	911	2562	3321	5811	2241	0.0975609756097561
Mnr	35	Mnr6	981	2346	3518	5797	2029	0.146341463414634
Mnr	35	Mnr7	817	2486	3326	5783	1981	0.195121951219512
Mnr	35	Mnr8	1014	2592	3527	5906	2282	0.024390243902439
Mnr	35	Mnr9	937	2538	3338	5935	2263	0.0975609756097561
cVO	36	cVO0	2664	4012	6623	3990	2567	0.119047619047619
cVO	36	cVO1	2962	3993	6615	3953	2637	0.0952380952380952
cVO	36	cVO2	2864	3950	6730	3949	2669	0.214285714285714
cVO	36	cVO3	2701	3813	6521	4019	2790	0.0714285714285714
cVO	36	cVO4	2897	3802	6661	3781	2571	0.0476190476190476
cVO	36	cVO5	2760	3969	6604	3907	2579	0.0238095238095238
cVO	36	cVO6	2740	3922	6610	4068	2695	0.142857142857143
cVO	36	cVO7	2956	3790	6772	3788	2524	0.0238095238095238
cVO	36	cVO8	2839	3740	6657	4069	2669	0.166666666666667
cVO	36	cVO9	2736	3715	6690	3850	2556	0.0952380952380952
DcL	37	DcL0	6745	940	3208	4904	614	0.111111111111111
DcL	37	DcL1	6632	837	3311	4763	582	0.148148148148148
DcL	37	DcL2	6866	724	3096	4926	471	0.0925925925925926
DcL	37	DcL3	6622	876	3147	4762	477	0.037037037037037
DcL	37	DcL4	6813	765	3015	4661	488	0.0925925925925926
DcL	37	DcL5	6862	611	3100	4592	679	0.12962962962963
DcL	37	DcL6	6706	907	3121	4744	644	0.0555555555555556
DcL	37	DcL7	6625	758	3229	4756	575	0.111111111111111
DcL	37	DcL8	6882	930	3346	4788	605	0.148148148148148
DcL	37	DcL9	6705	925	3222	4764	453	0.0740740740740741
Jiy	38	Jiy0	1997	6268	287	5911	1171	0.0677966101694915
Jiy	38	Jiy1	2097	6286	410	5747	1040	0.152542372881356
Jiy	38	Jiy2	1935	6340	379	5855	1123	0.152542372881356
Jiy	38	Jiy3	2188	6286	561	5579	885	0.0677966101694915
Jiy	38	Jiy4	2226	6104	261	5627	1056	0.0847457627118644
Jiy	38	Jiy5	2115	6199	260	5726	964	0.152542372881356
Jiy	38	Jiy6	2207	6156	273	5754	970	0.0169491525423729
Jiy	38	Jiy7	2149	6050	482	5613	1168	0.0677966101694915
Jiy	38	Jiy8	2171	6204	396	5896	1040	0.135593220338983
Jiy	38	Jiy9	1957	6277	450	5634	1155	0.101694915254237
eyB	39	eyB0	4562	4979	5174	6392	3419	0.111111111111111
eyB	39	eyB1	4652	4862	5079	6159	3595	0.037037037037037
eyB	39	eyB2	4687	5028	5119	6420	3579	0.185185185185185
eyB	39	eyB3	4767	5014	4934	6211	3446	0.037037037037037
eyB	39	eyB4	4621	4751	5183	6203	3638	0.148148148148148
eyB	39	eyB5	4813	4754	4962	6188	3445	0.111111111111111
eyB	39	eyB6	4804	4849	5095	6140	3392	0.037037037037037
eyB	39	eyB7	4560	4941	4879	6405	3524	0.222222222222222
eyB	39	eyB8	4837	4838	4967	6224	3707	0.037037037037037
eyB	39	eyB9	4689	4804	5075	6266	3555	0.0740740740740741
sWV	40	sWV0	6041	534	1093	4777	5908	0.0731707317073171
sWV	40	sWV1	5982	840	1092	4857	5716	0.024390243902439
sWV	40	sWV2	5972	717	987	4944	5853	0.170731707317073
sWV	40	sWV3	5989	642	1183	4655	5906	0.170731707317073
sWV	40	sWV4	5882	638	1179	4658	5788	0.024390243902439
sWV	40	sWV5	5927	811	1157	4787	5771	0.0975609756097561
sWV	40	sWV6	6170	630	1035	4930	5936	0.0731707317073171
sWV	40	sWV7	6030	568	851	4821	5717	0.024390243902439
sWV	40	sWV8	5973	623	881	4757	5858	0.121951219512195
sWV	40	sWV9	6129	815	898	4890	5800	0.219512195121951
bFD	41	bFD0	2901	182	321	3838	6504	0.170731707317073
bFD	41	bFD1	3011	370	286	3898	6367	0.0487804878048781
bFD	41	bFD2	3086	222	443	3744	6553	0.024390243902439
bFD	41	bFD3	3159	370	290	3936	6275	0.146341463414634
bFD	41	bFD4	3091	238	379	3734	6550	0.195121951219512
bFD	41	bFD5	3106	204	213	4018	6572	0.146341463414634
bFD	41	bFD6	3074	361	304	3762	6428	0.121951219512195
bFD	41	bFD7	2938	163	444	3805	6352	0.024390243902439
bFD	41	bFD8	3171	429	377	3791	6296	0.0731707317073171
bFD	41	bFD9	2935	390	508	3826	6319	0.0487804878048781
